#,,,,,,,,GFATEParams,Unknown4,Unknown9,,,,,,,,,,,,,,Unknown0,Unknown5,Type,,,,,,,,,,,,,,Unknown1,Unknown6,Unknown11,,,,,,,,,,,,,,Unknown2,Unknown7,,,,,,,,,,,,,,,Unknown3,Unknown8,,,,,,,,,,,,,,
int32,byte,byte,uint32,uint16,uint16,uint16,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,GFateType,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&02,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04,bit&04
10,1,3,251,279,280,281,0,4982056,4982056,4982057,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,1,3,251,279,280,281,0,4982056,4982056,4982057,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,1,1,251,279,280,281,0,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,1,1,251,279,280,281,0,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,1,1,251,279,280,281,0,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,1,1,251,279,280,281,0,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,1,1,251,279,280,281,0,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,1,1,251,279,280,281,0,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,1,1,251,279,280,281,0,4982059,4982059,4982058,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,5,2,251,279,280,281,0,5126495,5126495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,2,3,251,279,280,281,0,4982026,4982026,5584138,5582186,5584063,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,71312,71312,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,2,3,251,279,280,281,0,4982026,4982026,5584138,5582186,5584063,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,71312,71312,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,2,3,251,279,280,281,0,4982026,4982026,5584138,5582186,5584063,0,0,0,0,0,0,0,0,0,0,0,71311,71313,71312,71312,71312,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,3,1,251,279,280,281,0,4981827,4981996,4981997,4981998,4981999,4982000,4982001,4982002,4982006,4982008,4981827,0,0,0,0,0,71311,71312,71312,71312,71312,71312,71312,71312,71312,71312,71313,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55,5,2,251,279,280,281,0,5126495,5126495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56,5,2,251,279,280,281,0,5126495,5126495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
57,5,2,251,279,280,281,0,5126495,5126495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58,5,2,251,279,280,281,0,5126495,5126495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
59,5,2,251,279,280,281,0,5126495,5126495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60,4,2,251,279,280,281,0,5127365,5127365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
61,5,2,251,279,280,281,0,5126495,5126495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
62,4,2,251,279,280,281,0,5127365,5127365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
63,4,2,251,279,280,281,0,5127365,5127365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,4,2,251,279,280,281,0,5127365,5127365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71311,71313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
