key,0,1,2,3,4,5
41,61,1,20,"有一个巨大的筒矗立在墙的旁面……
从声音来判断，墙的另一面是水源吧？","然后筒的顶端突出的那个轴，
则通过传导装置与旋转的车轮状动力装置相连……","也就是说，这就是汲水装置！
筒里应该有能够旋转的螺旋桨。"
42,61,1,20,"哦，这个在最伟大的森林里也有。
依我看，这是巨大的树吧？！","不是吗？这样啊……
上部的容积特别大，往下就开始变细了……
最关键的是，这非同一般的高度……","我知道了！这是用水压输水的供水塔！
它的高度是用来调节水压的！"
43,57,7,0,"钝口螈！
有活力的钝口螈！","可见，在那之后它的理念顺利地通过了审核，
由此成为了生息于世间的万物之一繁衍绵延至今。
仿佛从它的身上感受到了历史的厚重沧桑……",""
44,61,1,21,"哎呀？！
居然能用慕斯肉丸打到我……
看来你不是一般人啊？！","",""
45,57,7,0,"麻醉针射中的鸟并不是目标……","",""
46,61,1,23,"这座神像属于我们萨雷安的守护神沙利亚克，
他是艾欧泽亚的十二神之一，
是司掌河流与知识的男神。","我国曾采用直接民主主义
通过全体市民都参与的市民议会决定各种国策。
守护神也是在当时通过民众投票决定的。","但选择知识神的原因，
与其说是信仰心，更像是一种思想信条。
国民们都怀揣着一种身为知识收集者的使命感。"
47,61,1,23,"神话中说，知识神拥有
能涌出知识之水的水瓶。","这个石像的水瓶就是对传说的重现。
从管道中抽出的水被源源不断地注入了大海。
这其中也饱含着人们对于萨雷安作为知识之都的愿望。","听说为了实现这一设计也是花了不少工夫。
魔法大学引以为傲的所思大书院中
还收藏有当时的石匠们留下的奋斗历史。"
48,61,1,23,"相传第六灵灾发生时，大洪水袭击了艾欧泽亚。
被后人称为十二贤者的英雄挺身而出，
拯救了众多的百姓。","我们的祖国萨雷安
就是由十二贤者之一的纽恩克雷夫
与他从洪水中救出的幸存者们一同创立的。","最早的一批居民登陆
就是在那个石像旁边的海边……
那已经是距今近1600年前的事了。"
49,0,0,0,"","",""
50,0,0,0,"","",""
51,57,7,0,"奥密克戎伫立着。
那一动不动的样子一看就是在待命。","",""
52,57,7,0,"奥密克戎待在装置旁边。
没有什么特别的行动，似乎只是在待命。","",""
53,57,7,0,"奥密克戎正在和阿尔菲诺交流。
不知道交流得是否开心，
不过看起来没什么异常。","",""
54,57,7,0,"不是奥密克戎，而是钝口螈！
真没想到钝口螈还挺适合在宇宙中活动的！","是在迷津培养的个体
潜入了魔导船吗？
真是有活力啊……",""
55,57,7,0,"这个奥密克戎漫不经心地徘徊着。
毫无章法的行动似乎并不具备目的性……","",""
56,57,7,0,"乍一看有着粗犷的外表，不过毕竟是名门贵族，
总感觉隐约能看到有品位的绅士面容。","先把这件事放一边……
他虽然还有呼吸，但却没有要苏醒的样子……",""
57,57,7,0,"健壮的手臂。
不过这是绝不会伤害他人的绅士手臂。","比起这件事……
他摸上去又冷又硬……",""
58,57,7,0,"穿着绅士鞋。
想必是曼德维尔家的特制品。
不知道这双鞋一共要多少钱……","",""
59,57,7,0,"娜修在打盹。
是似曾相识的景象……","",""
60,57,7,0,"帕利伽在调查架子。
圆圆的小手看上去很可爱……","",""
61,57,7,0,"不明飞行物体正在搬运一个熟悉的人。
假装没看见吧……","",""
62,57,7,0,"娜修正在和阿尔戈斯玩耍。
看上去非常温馨……","",""
63,57,7,0,"德里昂正在认真寻找不明飞行物体。
感受到了他的执念……","",""
64,61,1,25,"这里……虽然看上去像眼睛，
但是只镶嵌了一颗宝石。
另一颗是掉了吗？","",""
65,61,1,19,"轿杠折掉了啊。
这下神轿可不好抬了，
毕竟它那么大。","",""
66,61,1,24,"尾羽的装饰已经不成样子了啊。
之前看到的时候感觉更华丽一些呢。","",""
67,61,1,24,"炉子离这么近太热了，再加上通风又不好，
这样根本没法好好工作啊……","",""
68,61,1,24,"磨损得很严重啊。
差不多该好好修整一下了吧？","",""
69,61,1,24,"这碗饭一点都没吃啊！
凉了就不好吃了……","",""
70,57,7,0,"这是袭击过程中士兵使用的武器。
看起来像是火枪，但又区别于一般的形状，
应该是高度文明的产物。","",""
71,57,7,0,"虽然看不到眼睛和嘴巴对应的位置，
但是却能看到带有光的纹样。","",""
72,57,7,0,"从远处看感觉像是甲胄，
但是离近了才知道其实是由复杂零件构成的机器。","不过其材质并不是常见的金属。
也看不到类似青磷引擎的东西，不清楚其动力源是什么。",""
73,61,1,19,"我说……
你不是要调查我，而是要调查机器兵对吧？","",""
74,57,7,0,"虽然目前一切运行正常，但几年后应该会出现劣化……","",""
75,57,7,0,"这里会定期排出气化的青磷水。
目前来看一切正常。","",""
76,57,7,0,"大木桶中装有青磷水。
先不说密封性，这么大的体积应该会很重吧。","",""
77,57,7,0,"星战士团的士兵晕倒了！
赶紧去查看一下！","",""
78,57,7,0,"人类的足迹……
可能是星战士团的士兵或者拉札罕正义侠留下的。","",""
79,57,7,0,"有魔物倒在了地上。
是拉札罕正义侠之前提到的魔物吗……","",""
80,61,1,24,"好多种素材啊……
感觉这下就可以全身心投入工作了，
还有什么问题吗？","",""
81,61,1,26,"前方左边的脑袋象征着霍比格族，
严肃的表情代表它掌管着武力。
涂有红色代表着“要赢下太阳照耀的大地”的决心。","",""
82,61,1,26,"前方右边的脑袋象征着布涅瓦族，
冷静的表情代表它掌管着智力。
涂有蓝色代表着“要坚守蓝色森林”的决心。","",""
83,61,1,26,"这是庆祝双头辉鳞人诞生的旗子。
这其中还包含着这旗子风化之前
能诞生下一个双头辉鳞人的愿望。","",""
84,61,1,26,"虽然不是雕像，光是柱子就让你如此在意吗？
虽然整体设计得很抽象，
但据说是以森林中的动植物为原型做的雕刻。","",""
85,61,1,26,"哎呀，你很在意那边的大房子吗？
那是特意为新族长准备的宅邸。","顺便说一下要想成为族长的话，
必须得是双头族人的父辈……
不过这样的规定今后应该也会发生变化吧。",""
86,0,0,0,"","",""
87,0,0,0,"","",""
88,0,0,0,"","",""
